City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
52,Clyde River,CA,2021-04-07 20:14:32,70.4692,-68.5914,10.4,85,90,5.75
53,Cabo San Lucas,MX,2021-04-07 20:12:45,22.8909,-109.9124,80.6,65,75,6.91
54,Emba,KZ,2021-04-07 20:16:18,48.8264,58.1442,39.43,85,65,4.23
55,Vaini,TO,2021-04-07 20:12:22,-21.2,-175.2,77.0,78,20,5.75
56,Aksarka,RU,2021-04-07 20:16:18,66.5606,67.7975,27.37,89,100,6.87
57,Norfolk,US,2021-04-07 20:12:03,42.1668,-71.2495,57.0,62,90,5.75
58,Harper,LR,2021-04-07 20:16:18,4.375,-7.7169,80.74,83,17,6.11
59,Saldanha,ZA,2021-04-07 20:14:07,-33.0117,17.9442,60.8,82,40,8.05
60,Zhigansk,RU,2021-04-07 20:13:26,66.7697,123.3711,6.22,90,100,20.27
61,Hermanus,ZA,2021-04-07 20:12:20,-34.4187,19.2345,62.01,87,12,6.85
62,Dikson,RU,2021-04-07 20:12:20,73.5069,80.5464,2.84,84,100,3.15
63,Revelstoke,CA,2021-04-07 20:16:19,50.9832,-118.2023,46.4,76,90,13.8
64,Sile,TR,2021-04-07 20:16:19,41.1754,29.6133,48.2,87,75,18.41
65,Qui Nhon,VN,2021-04-07 20:14:54,13.7667,109.2333,75.72,86,93,2.57
66,San Juan,AR,2021-04-07 20:16:19,-31.5375,-68.5364,87.31,34,64,9.44
67,Punta Arenas,CL,2021-04-07 20:12:24,-53.15,-70.9167,55.4,58,0,14.97
68,Saint George,US,2021-04-07 20:12:52,37.1041,-113.5841,75.0,10,1,2.46
69,Hobyo,SO,2021-04-07 20:13:23,5.3505,48.5268,80.17,58,82,13.06
70,Khartoum,SD,2021-04-07 20:16:20,15.5518,32.5324,88.0,7,34,1.01
71,Itarema,BR,2021-04-07 20:13:36,-2.9248,-39.9167,81.36,77,100,15.57
72,High Level,CA,2021-04-07 20:16:20,58.5169,-117.136,32.0,86,90,13.8
73,Saskylakh,RU,2021-04-07 20:13:34,71.9167,114.0833,-3.05,99,100,4.74
74,Tasiilaq,GL,2021-04-07 20:12:38,65.6145,-37.6368,19.4,63,3,19.57
75,Baruun-Urt,MN,2021-04-07 20:16:21,46.6806,113.2792,34.9,38,0,2.91
76,Arraial Do Cabo,BR,2021-04-07 20:08:39,-22.9661,-42.0278,75.2,78,40,5.75
