City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
477,Trinidad,BO,-14.8333,-64.9,63.28,95,100,2.51,overcast clouds
478,Mecca,SA,21.4267,39.8261,74.64,50,68,5.37,broken clouds
479,Karratha,AU,-20.7377,116.8463,81.43,74,83,4.99,broken clouds
480,Salinas,US,36.6777,-121.6555,61.0,63,75,12.66,broken clouds
481,Vista Alegre,PA,8.9333,-79.7,86.0,70,40,11.5,scattered clouds
482,Maicao,CO,11.3832,-72.2432,84.31,66,100,13.44,light rain
483,Grants,US,35.1473,-107.8514,68.0,10,1,16.11,clear sky
484,Bukama,CD,-9.2,25.85,66.79,97,92,1.16,light rain
485,Trofors,NO,65.5333,13.4063,33.8,69,20,11.5,few clouds
486,Yaan,NG,7.3833,8.5667,85.66,48,96,6.31,overcast clouds
487,Port Antonio,JM,18.18,-76.4612,82.4,74,40,13.8,light rain
488,Weihai,CN,37.5017,122.1136,43.63,67,62,23.02,broken clouds
489,Souris,CA,49.6172,-100.2612,23.0,86,90,21.85,light snow
490,Swinford,IE,53.95,-8.95,43.0,95,65,1.66,broken clouds
491,Cockburn Town,TC,21.4612,-71.1419,78.8,73,20,6.91,few clouds
492,Yakeshi,CN,49.2833,120.7333,18.23,57,0,6.98,clear sky
493,Machico,PT,32.7,-16.7667,68.0,83,20,2.3,few clouds
494,Yar-Sale,RU,66.8333,70.8333,27.93,77,53,23.55,broken clouds
495,Derzhavinsk,KZ,51.1,66.3167,32.94,81,10,10.25,clear sky
496,Ewa Beach,US,21.3156,-158.0072,80.6,61,75,12.66,broken clouds
497,Half Moon Bay,US,37.4636,-122.4286,68.0,76,1,8.05,haze
498,Sorland,NO,67.667,12.6934,35.64,54,18,6.64,few clouds
499,Tayturka,RU,52.8692,103.4608,31.3,88,100,4.38,overcast clouds
500,San Felipe,VE,10.3399,-68.7425,76.44,87,67,1.99,broken clouds
501,Batagay-Alyta,RU,67.8006,130.4114,3.81,74,44,2.66,scattered clouds
502,Eyl,SO,7.9803,49.8164,78.12,72,100,8.32,overcast clouds
503,Vila,PT,42.0304,-8.1588,55.0,60,100,3.0,overcast clouds
504,Wicklow,IE,53.0,-6.4167,42.01,87,75,6.91,broken clouds
505,Anadyr,RU,64.75,177.4833,6.8,78,40,13.42,scattered clouds
506,Khalkhal,IR,37.6189,48.5258,46.63,49,8,3.4,clear sky
507,Touros,BR,-5.1989,-35.4608,80.6,83,20,6.91,few clouds
508,Kursk,RU,51.7303,36.1939,53.6,54,83,6.71,broken clouds
509,Tanout,NE,14.9709,8.8879,80.85,8,0,9.4,clear sky
510,Avera,US,33.194,-82.5271,84.2,23,1,12.66,clear sky
511,Ulaangom,MN,49.9811,92.0667,37.65,37,62,1.43,broken clouds
512,Marawi,PH,7.9986,124.2928,73.99,88,90,5.01,overcast clouds
513,Kalmar,SE,56.6616,16.3616,39.99,69,96,5.75,overcast clouds
514,Acarau,BR,-2.8856,-40.12,79.27,83,29,11.65,scattered clouds
515,Ajuchitlan,MX,20.7167,-100.0167,86.0,14,40,4.61,scattered clouds
516,Egyek,HU,47.6333,20.9,59.0,58,0,9.22,clear sky
517,Coquimbo,CL,-29.9533,-71.3436,59.0,82,20,11.5,few clouds
518,Pak Phanang,TH,8.3511,100.202,80.2,79,60,1.12,broken clouds
519,Kedougou,SN,12.5579,-12.1743,95.0,17,30,3.74,scattered clouds
520,Buala,SB,-8.145,159.5921,84.06,71,75,7.45,broken clouds
521,Bantogon,PH,6.5333,124.0333,79.12,79,91,2.71,overcast clouds
522,Morondava,MG,-20.2833,44.2833,78.42,61,99,7.29,overcast clouds
523,Kavieng,PG,-2.5744,150.7967,78.53,73,100,12.21,overcast clouds
524,Parabel,RU,58.6978,81.4825,28.63,93,28,7.67,scattered clouds
525,Ankang,CN,32.68,109.0172,62.24,71,100,1.92,overcast clouds
526,Bosobolo,CD,4.1833,19.9,70.93,90,100,2.55,light rain
527,Tucuman,AR,-26.8241,-65.2226,71.6,56,20,3.44,few clouds
528,Aginskoye,RU,51.1,114.53,22.39,34,20,6.13,few clouds
529,La Ronge,CA,55.1001,-105.2842,39.2,38,27,14.97,scattered clouds
530,Batticaloa,LK,7.7102,81.6924,78.04,84,74,6.11,broken clouds
531,Pisco,PE,-13.7,-76.2167,71.6,68,0,24.16,clear sky
532,Gachala,CO,4.6924,-73.5204,60.8,59,75,6.91,broken clouds
533,Ahuimanu,US,21.4447,-157.8378,80.6,61,40,9.22,scattered clouds
534,Carutapera,BR,-1.195,-46.02,76.82,91,46,7.29,scattered clouds
535,Wattegama,LK,6.7989,81.4808,73.89,90,65,1.07,broken clouds
536,Pasni,PK,25.2631,63.471,77.14,74,0,6.69,clear sky
537,Elliot Lake,CA,46.3834,-82.6331,53.6,76,90,18.41,overcast clouds
538,Deputatskiy,RU,69.3,139.9,1.4,80,27,3.09,scattered clouds
539,Anahuac,MX,27.2333,-100.15,93.2,38,1,9.22,clear sky
540,Qui Nhon,VN,13.7667,109.2333,75.56,87,92,4.74,overcast clouds
541,Bonthe,SL,7.5264,-12.505,79.48,79,94,8.12,overcast clouds
542,Talcahuano,CL,-36.7167,-73.1167,68.0,68,0,14.97,clear sky
543,Isabela,PH,6.7085,121.9711,75.2,94,40,1.14,scattered clouds
544,Kongsvinger,NO,60.1905,11.9977,32.0,86,75,13.8,snow
545,Kholtoson,RU,50.2981,103.3097,24.06,57,33,2.89,scattered clouds
546,Nagorsk,RU,59.3172,50.8078,31.8,97,31,4.09,scattered clouds
547,Xichang,CN,27.8964,102.2634,53.08,81,8,1.83,clear sky
548,Santiago,CL,-33.4569,-70.6483,82.4,18,0,2.26,clear sky
549,Indian Head,US,38.6001,-77.1622,60.8,67,75,3.44,light rain
550,Grand Gaube,MU,-20.0064,57.6608,75.0,92,100,1.99,moderate rain
551,Samarai,PG,-10.6167,150.6667,81.75,62,60,12.26,broken clouds
552,Kidodi,TZ,-7.6036,37.0044,70.63,98,100,3.09,light rain
553,Zdunska Wola,PL,51.5992,18.9397,37.0,90,100,8.01,overcast clouds
554,Sioux Lookout,CA,50.1001,-91.917,35.6,87,90,10.36,overcast clouds
555,General Pico,AR,-35.6566,-63.7568,62.8,57,0,7.23,clear sky
556,Cognac,FR,45.5,-0.25,41.0,65,0,2.3,clear sky
557,Shakhovskaya,RU,56.0283,35.5097,46.0,94,100,8.16,overcast clouds
558,Ambilobe,MG,-13.2,49.05,72.14,91,86,3.27,overcast clouds
559,Mendi,PG,-6.1761,143.6513,60.22,85,49,1.72,scattered clouds
560,Praia Da Vitoria,PT,38.7333,-27.0667,62.6,94,40,24.72,scattered clouds
561,Bahia Blanca,AR,-38.7196,-62.2724,67.28,52,0,11.5,clear sky
562,San Juan,AR,-31.5375,-68.5364,71.11,23,0,8.7,clear sky
563,Karlskrona,SE,56.1616,15.5866,35.6,80,90,3.44,overcast clouds
564,Zmeinogorsk,RU,51.1567,82.195,31.48,91,32,1.81,scattered clouds
565,Pakdasht,IR,35.4752,51.6807,68.0,21,40,4.61,scattered clouds
566,Goure,NE,13.9835,10.2704,79.7,9,32,7.52,scattered clouds
567,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,66.0,80,6,1.99,clear sky
568,Lewistown,US,40.5992,-77.5714,51.8,95,90,4.41,overcast clouds
569,Southbridge,US,42.0751,-72.0334,45.0,83,100,4.0,overcast clouds
570,Palestine,PS,31.9216,35.2033,53.6,66,0,4.61,clear sky
571,Curumani,CO,9.1999,-73.5427,86.7,63,96,3.38,overcast clouds
